co_per_rol,P_0,r_f,d,s,T,phi,n_s,n_o,K,wealth,rescale_factor
7762,100.0,0.0197,0.0052,0.40680218,2.462123092474645,0.23253998,0.0052899998,0.000759929677,106.25499896424607,0.43683487,10.62991
7898,100.0,0.0197,0.0,0.60733593,6.676106840145271,0.93530303,0.21186,0.0045947112000000005,944.355558365982,3.1189165,0.92628479
7967,100.0,0.0197,0.0,0.47289732,4.16848122264822,0.23272476,0.01675,0.01429320498,263.9304044183722,0.4905417,5.2125311
7995,100.0,0.0197,0.0,0.54453617,4.638436075946647,0.020974815,0.019330001,0.017788740139000003,12.01226696081026,0.039128333,162.89969
8496,100.0,0.0197,0.0,0.46176273,2.1505128214173483,0.11596689,0.067100003,0.012682048009999999,80.44387909631162,0.24390335,17.466486
8800,100.0,0.0197,0.0074,0.22552741,3.349315218860423,0.049496539,0.0027900001,0.009330765940000001,77.74752116388008,0.11413226,80.451744
8802,100.0,0.0197,0.00095000002,0.82351291,2.5705792225363786,0.73130381,0.01395,0.0066439048,284.6456895363868,1.1675254,1.2039907
9093,100.0,0.0197,0.0,0.57341152,2.6487638935011213,0.46367398,0.01347,0.00478179958,164.2438798792671,0.76126683,5.6809053
9192,100.0,0.0197,0.0,0.54507494,3.0742466300011064,0.24295799,0.0012000001,0.00039312511,153.24553151456132,0.62569666,13.940607
9198,100.0,0.0197,0.0108,0.30443239,3.356164279999394,0.088020772,0.0023399999,0.0038471404,73.81684081130474,0.32162547,7.6124077
9286,100.0,0.0197,0.015,0.67038852,3.352139319652668,0.012548822,0.00171,0.00381827327,107.74495076748195,0.095825352,324.68863
9304,100.0,0.0197,0.0040000002,0.34267959,2.7857904515803495,0.016942307,0.00351,0.00622282106,149.0144402674574,0.088752382,90.872986
9387,100.0,0.0197,0.0083999997,0.42966658,5.6917853088394095,0.048356999,0.00073000003,0.00385912602,124.41714851245713,0.044893816,193.53023
9489,100.0,0.0197,0.0080000004,0.47104189,3.0281454456814894,0.12061808,0.06735,0.010968770790000002,120.70304989656802,0.24805862,26.63978
9504,100.0,0.0197,0.0040000002,0.56479555,3.7026907892514322,0.1113969,0.0027399999,0.004293673559999999,235.6854497563718,0.14650697,57.750366
9551,100.0,0.0197,0.0058333334,0.32652733,1.8156778032098824,0.062282808,0.01106,0.005486282800000001,69.438679208931,0.1624205,32.154716
9802,100.0,0.0197,0.0076000001,0.43513274,2.285242521532961,0.055996496,0.0011399999,0.006411077560000001,122.50829135967884,0.089852929,67.45472
9975,100.0,0.0197,0.0049999999,0.35550758,2.3561546928220274,0.066665329,0.00563,7.544866e-05,71.85677870118613,0.20880996,81.628036
10147,100.0,0.0197,0.0020999999,0.31714463,5.0,0.088615611,0.0027000001,0.0,100.0,0.20824903,24.366619
10404,100.0,0.0197,0.0040000002,0.46077913,2.9015980992376518,0.078072838,0.01795,0.009374098559999999,101.2453997038062,0.23750538,5.2629061
10417,100.0,0.0197,0.0027000001,0.3693383,4.5069223382097405,0.027829135,0.13393,0.00050807109,67.99547797064018,0.057213549,40.196148
10422,100.0,0.0197,0.0044999998,0.414051,3.1864044450808597,0.17218895,0.094959997,0.061553824000000014,103.03147734498047,0.64654517,9.1748161
